ply,balance,execution time,leaf nodes
0,0.0,2602,13357
1,0.0,11031,190427
2,0.0,8349,195766
3,0.0,7472,177276
4,0.0,9884,202683
5,0.0,11652,240533
6,0.0,7158,155761
7,0.0,9165,191657
8,0.0,9116,192358
9,0.0,10845,191789
10,0.0,15054,204518
11,-0.33,22708,310431
12,-0.0,11450,213670
13,-0.0,15529,216375
14,-0.0,13411,214029
15,-0.33,12086,184113
16,4.3,11547,191854
17,4.3,13358,199321
18,5.3,11649,192460
19,5.3,10821,197012
20,5.3,10558,209799
21,5.3,11969,203605
22,5.3,10394,207536
23,4.3,9404,192720
